title,date_announced,company_name,reference_number,url,assigned_category,sub_category
"MULTIPLE PROPOSALS VERTICE BERHAD (""VERTICE"" OR THE ""COMPANY"")
(I)	PROPOSED DISPOSAL; AND
(II)	PROPOSED PROVISION OF FINANCIAL ASSISTANCE
(COLLECTIVELY, REFERRED TO AS THE ""PROPOSALS"")",11/9/2020,VERTICE BERHAD,GA1-11092020-00062,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3087645,General Announcement,Multiple Proposals
OTHERS SHARE GRANT SCHEME OF UP TO 15% OF THE TOTAL NUMBER OF ISSUED SHARES OF GREEN PACKET BERHAD (EXCLUDING TREASURY SHARES),11/9/2020,GREEN PACKET BERHAD,GA1-11092020-00036,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3087748,General Announcement,OTHERS
"OTHERS RHB BANK BERHAD (""RHB BANK"")
DISPOSAL BY RHB INVESTMENT BANK BERHAD (""RHB INVESTMENT BANK""), A WHOLLY-OWNED SUBSIDIARY OF RHB BANK, OF ITS ENTIRE EQUITY INTEREST IN RHB SECURITIES SINGAPORE PTE LTD (""RHB SECURITIES SINGAPORE"") (""DISPOSAL"")",11/9/2020,RHB BANK BERHAD,GA1-11092020-00086,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3087762,General Announcement,OTHERS
"MULTIPLE PROPOSALS SINO HUA-AN INTERNATIONAL BERHAD (""SHIB"" OR ""COMPANY"")
(i)	PROPOSED DEBT SETTLEMENT
(ii)	PROPOSED PRIVATE PLACEMENT
(COLLECTIVELY ""PROPOSALS"")",11/9/2020,SINO HUA-AN INTERNATIONAL BERHAD,GA1-11092020-00095,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3087769,General Announcement,Multiple Proposals
"NEW ISSUE OF SECURITIES (CHAPTER 6 OF LISTING REQUIREMENTS) : OTHER ISSUE OF SECURITIES RANHILL UTILITIES BERHAD (FORMERLY KNOWN AS RANHILL HOLDINGS BERHAD) (""RANHILL OR THE COMPANY"")
ESTABLISHMENT OF A LONG TERM INCENTIVE PLAN OF UP TO 10% OF THE TOTAL NUMBER OF ISSUED RANHILL SHARES (EXCLUDING TREASURY SHARES, IF ANY) FOR ELIGIBLE EXECUTIVE DIRECTORS AND EMPLOYEES OF RANHILL AND ITS SUBSIDIARY COMPANIES (EXCLUDING SUBSIDIARIES WHICH ARE DORMANT) AT ANY POINT IN TIME (""LTIP"")",11/9/2020,RANHILL UTILITIES BERHAD,GA1-11092020-00054,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3087770,General Announcement,New Issue of Securities (Chapter 6 of listing requirements)
"OTHERS RANHILL UTILITIES BERHAD (FORMERLY KNOWN AS RANHILL HOLDINGS BERHAD) (""RANHILL"" OR THE ""COMPANY"")
AWARD OF SHARES UNDER RANHILL'S LONG TERM INCENTIVE PLAN",11/9/2020,RANHILL UTILITIES BERHAD,GA1-11092020-00055,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3087774,General Announcement,OTHERS
"TRANSACTIONS (CHAPTER 10 OF LISTING REQUIREMENTS) : RECURRENT RELATED PARTY TRANSACTIONS SEREMBAN ENGINEERING BERHAD (""SEB"" OR ""THE COMPANY"") - VARIATION BETWEEN ACTUAL VALUE AND ESTIMATED VALUE BY 10% OR MORE",11/9/2020,SEREMBAN ENGINEERING BERHAD,GA1-11092020-00092,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3087776,General Announcement,Transactions (Chapter 10 of Listing Requirements)
"NEW ISSUE OF SECURITIES (CHAPTER 6 OF LISTING REQUIREMENTS) : BONUS ISSUES RUBBEREX CORPORATION (M) BERHAD (""RUBBEREX"" OR ""COMPANY"")
PROPOSED BONUS ISSUE OF 554,850,234 NEW ORDINARY SHARES IN RUBBEREX (""BONUS SHARE(S)"") ON THE BASIS OF 2 BONUS SHARES FOR EVERY 1 EXISTING ORDINARY SHARES IN RUBBEREX HELD AT AN ENTITLEMENT DATE TO BE DETERMINED LATER",11/9/2020,RUBBEREX CORPORATION (M) BERHAD,GA1-11092020-00116,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3087783,General Announcement,New Issue of Securities (Chapter 6 of listing requirements)
"NEW ISSUE OF SECURITIES (CHAPTER 6 OF LISTING REQUIREMENTS) : COMBINATION OF NEW ISSUE OF SECURITIES GOODWAY INTEGRATED INDUSTRIES BERHAD (""GIIB"" OR THE ""COMPANY"")
(I)	PROPOSED DEBT CAPITALISATION;
(II)	PROPOSED SHARES ISSUANCE; AND
(III)	PROPOSED PRIVATE PLACEMENT
(COLLECTIVELY, REFERRED TO AS THE ""PROPOSALS"")",11/9/2020,GOODWAY INTEGRATED INDUSTRIES BERHAD,GA1-11092020-00035,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3087784,General Announcement,New Issue of Securities (Chapter 6 of listing requirements)
"NEW ISSUE OF SECURITIES (CHAPTER 6 OF LISTING REQUIREMENTS) : FUND RAISING PASUKHAS GROUP BERHAD (""PASUKHAS"" OR THE ""COMPANY"")
PRIVATE PLACEMENT",11/9/2020,PASUKHAS GROUP BERHAD,GA1-11092020-00113,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3087785,General Announcement,New Issue of Securities (Chapter 6 of listing requirements)
